Age,Gender,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,ethnicity_0,ethnicity_1,ethnicity_2,ethnicity_3
18,0,4,17.66699402044208,8,1,2,0,1,0,1,2.8739722821184617,2.0,1,0,0,0
16,1,2,17.916242027971574,6,0,3,1,0,1,0,3.167455277075199,3.0,1,0,0,0
15,0,0,15.265703804063184,7,0,1,0,0,0,0,2.7952105534902603,2.0,0,0,0,1
17,1,2,11.156202514708689,17,0,3,0,1,1,1,1.756035494723187,0.0,0,1,0,0
18,0,2,11.703895707857075,7,0,1,0,0,0,1,2.639906487707337,2.0,0,1,0,0
15,1,4,5.612711597530316,11,0,3,1,0,0,0,2.1911967950430395,1.0,1,0,0,0
16,1,0,2.200354422550872,12,1,1,1,0,1,0,1.9863780592187463,0.0,0,0,1,0
16,0,1,13.673990914492416,14,0,1,1,0,0,0,1.6998253090682822,4.0,1,0,0,0
17,0,2,11.684495776634362,29,0,1,1,0,0,1,0.2234305089365645,0.0,0,1,0,0
17,1,1,8.033062515287606,25,1,2,1,0,1,0,1.3250390169983148,2.0,0,0,1,0
16,1,2,2.138397287596427,8,0,1,1,1,0,0,1.979379413769687,3.0,1,0,0,0
18,1,3,3.403052822890338,14,0,2,0,0,0,0,1.4996666752012844,0.0,0,0,0,1
17,1,0,14.158956534023782,21,1,2,0,1,0,0,1.0027983635819373,0.0,0,0,1,0
15,1,2,12.11518978717944,27,1,4,0,1,1,0,1.3649825214589588,0.0,1,0,0,0
15,0,0,7.2664895113802,4,0,1,0,0,0,0,2.53663378226987,2.0,1,0,0,0
16,1,3,11.301445660733872,24,0,4,1,1,0,0,1.212880751488374,0.0,1,0,0,0
18,1,2,16.20865827146341,1,0,3,1,0,0,0,3.5485205508668662,4.0,0,1,0,0
17,1,3,4.1367422123321695,18,0,1,1,0,0,0,1.183063850341623,0.0,0,1,0,0
15,0,0,17.608438057472096,26,0,4,0,0,0,0,1.2204179764419896,0.0,1,0,0,0
18,1,2,15.683743584641592,1,1,4,0,1,0,0,3.9514599508156745,4.0,0,1,0,0
16,0,1,17.425539762423142,1,0,2,1,0,0,0,3.3501309740346112,3.0,1,0,0,0
17,0,0,14.252028145967865,8,0,3,0,0,0,0,2.7913861084723397,2.0,1,0,0,0
16,0,1,6.023180395708907,17,1,2,0,0,0,1,1.8154017176022972,0.0,0,0,1,0
15,1,0,6.486273277511612,16,1,2,0,0,1,0,2.0972515782565893,1.0,1,0,0,0
17,1,4,15.416290433286424,9,0,1,1,0,0,0,2.4543067018642812,1.0,0,0,0,1
18,1,2,15.938950080312916,13,0,1,1,0,0,0,1.8315112814407797,0.0,0,1,0,0
15,1,2,18.55801259724054,11,0,2,0,1,0,1,2.3019321078440553,1.0,0,0,1,0
17,0,2,9.924389589798489,28,1,4,0,0,0,0,0.7289188138326557,0.0,0,0,1,0
15,1,2,9.91434020156551,10,0,1,0,0,0,0,2.0159494650624468,1.0,0,1,0,0
17,1,1,6.793212409628855,13,0,0,0,1,1,1,1.602089195984674,0.0,1,0,0,0
18,0,3,12.207877332881072,1,0,3,0,1,0,0,3.2501100112534,1.0,1,0,0,0
18,1,3,4.998034432737796,3,0,3,0,0,0,0,2.6216233262773407,2.0,1,0,0,0
16,1,1,12.89812647729834,20,1,1,0,0,1,0,1.35114105198072,0.0,1,0,0,0
17,1,2,5.125847507384352,12,0,3,1,1,0,0,2.342836773191855,1.0,1,0,0,0
15,1,2,7.005447413386552,4,0,3,0,0,0,0,2.9181391275529593,2.0,0,0,1,0
16,1,1,8.112387805108847,22,0,2,1,0,0,0,1.3027119835441363,0.0,0,1,0,0
17,0,2,13.005939481470152,3,0,2,1,0,0,0,2.759021764954944,2.0,1,0,0,0
16,0,2,0.3922106494850719,17,0,0,0,0,0,0,0.8221078891229036,0.0,1,0,0,0
16,0,3,13.924428722425448,20,0,0,0,0,0,0,1.0075173084456468,0.0,1,0,0,0
18,1,4,18.94613798473924,20,0,2,1,0,0,0,1.7701318767799732,0.0,0,0,0,1
18,0,1,8.847874814963872,25,0,2,0,1,0,0,0.8027695392342074,0.0,1,0,0,0
18,1,2,9.099015536839994,23,0,3,0,1,0,0,0.9499742281238568,0.0,1,0,0,0
15,1,1,17.449256301673483,10,0,4,0,0,0,1,2.440769899927139,1.0,1,0,0,0
17,0,1,9.3571892526832,12,1,1,1,0,0,0,2.303453349269981,1.0,1,0,0,0
15,0,1,15.497168043639116,21,0,2,0,0,1,0,1.1307853592581485,0.0,0,1,0,0
17,0,2,18.36386316923406,10,0,3,0,1,0,1,2.5559753763709523,4.0,1,0,0,0
18,1,2,5.6026823755075945,19,0,2,0,0,0,0,1.016215042238629,0.0,0,1,0,0
15,1,1,9.74935670927948,7,1,1,0,1,1,0,2.9744060149110436,2.0,0,1,0,0
15,0,2,7.472113190681182,21,0,2,0,1,1,0,1.1656039458580214,0.0,1,0,0,0
18,1,1,7.380354648223455,15,0,2,0,0,0,0,1.5051556220362858,0.0,1,0,0,0
17,1,0,10.230723884695836,5,0,4,0,0,1,0,3.0168978681026624,3.0,1,0,0,0
18,0,2,6.834237586833767,5,0,3,1,0,0,0,3.03416743887847,1.0,0,0,1,0
18,1,1,18.921512361376628,1,1,3,1,1,0,0,4.0,4.0,1,0,0,0
18,1,1,18.185300869106815,9,0,3,0,1,0,0,2.70295861751592,4.0,1,0,0,0
17,1,0,13.305456724738216,29,1,3,0,0,1,0,0.7834866400151184,0.0,0,0,0,1
18,0,1,17.066929952174476,23,0,3,0,1,0,0,1.3371610494936967,0.0,0,1,0,0
15,0,2,6.508365613652156,20,1,2,1,0,1,1,1.6560601255004677,0.0,1,0,0,0
15,0,1,18.63825465194912,6,1,1,0,0,1,0,2.8534371942017955,2.0,1,0,0,0
